Fecha Publicación;Titulo de la convocatoria;Cantidad percibida (Euros);Link de la resolución
18/05/2022;Ayudas para el suministro de animales reproductores de razas puras o razas comerciales originarios de la comunidad, establecidas en la Subacción III.1 del Programa Comunitario de Apoyo a las Producciones Agrarias de Canarias, campaña 2021, segundo periodo.;2352;https://sede.gobiernodecanarias.org/sede/movil/anuncios/ced91490-f73c-4dca-9c62-a2ac0b3737da
02/06/2022;Ayuda directa a los titulares de explotaciones ganaderas de caprino, ovino, porcino vacuno, cunícola, y avícola recogidos en el anexo i, destinada a paliar la difícil situación económica que atraviesan como consecuencia de la crisis sanitaria ocasionada por el covid-19, las explotaciones ganaderas.;45902,12;https://sede.gobiernodecanarias.org/sede/anuncios/a482420e-1170-4d49-8c42-18a69f9c225a
14/06/2022;Ayudas establecidas en la Acción III.11 del POSEI, a la producción local de huevos de gallina, campaña 2021.;5873,13;https://sede.gobiernodecanarias.org/sede/anuncios/35fe98bf-54cb-4e4c-91a0-d4b356eb0907
29/06/2022;Subvención extraordinaria para compensar el incremento del precio de la alimentación animal (COVID-19).;38025,98;https://cabildo.grancanaria.com/servicios?articleId=238201
15/11/2022;Subvención extraordinaria para compensar el incremento del precio de la alimentación animal debido a la invasión de Ucrania por parte de Rusia.;62000;https://verifirma.grancanaria.com/verifirma/code/pTveDGqNfKQgWuZsc3bN1Q=
23/12/2022;Ayudas establecidas en la orden de 26 de abril de 2022, por la que se convocan determinadas ayudas de estado adicionales a las medidas que componen el Programa Comunitario de Apoyo a las Producciones Agrarias de Canarias, referidas a la campaña 2021.;3249,02;https://sede.gobiernodecanarias.org/sede/anuncios/79a1e9b4-5c72-4cc0-b81a-0a7219ca261c
29/12/2022;Ayudas extraordinarias a las explotaciones ganaderas como consecuencia de la crisis de Ucrania.;41447,17;https://sede.gobiernodecanarias.org/sede/anuncios/289abcd2-28f9-411d-adda-32eb25df804e
28/12/2022;Subvenciones a ganaderos del municipio.;5000;https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/651444/concesiones
12/04/2023;Ayudas al Sector Ganadero por la crisis de la guerra de Ucrania.;47199,43;https://sede.gobiernodecanarias.org/sede/anuncios/95ead729-521c-4cda-acc5-55916d02d85f
15/06/2023;Ayudas establecidas en la Acción III.11 del POSEI, destinadas a la producción local de huevos de gallina, campaña 2022.;6826,93;https://sede.gobiernodecanarias.org/sede/anuncios/a6d4e5c2-8f3d-49c8-a928-c3ec036e38d8
01/12/2023;Subvención destinada a la ganadería del municipio, para atenuar el impacto económico del incremento costo de las  producciones ganaderas, anualidad 2023.;7246,77;https://ingenio.sedelectronica.es/doc/7RJ46K9JW3ZA37RCCYCT2PKXP/.14
13/12/2023;Subvención extraordinaria para compensar el incremento del precio de la alimentación animal debido a la invasión de Ucrania por parte de Rusia 2023.;60000;https://cabildo.grancanaria.com/servicios?articleId=1629322
28/12/2023;Ayudas establecidas en la Orden de 26 de mayo de 2023, por la que se convocan determinadas ayudas de estado adicionales a las medidas que componen el Programa Comunitario de Apoyo a las Producciones Agrarias de Canarias, referidas a la campaña 2022.;17857,01;https://sede.gobiernodecanarias.org/sede/anuncios/ed0fe4c1-4d6b-45c0-9957-c725c1a4dd63
22/12/2023;Ayuda directa a titulares de explotaciones ganaderas por la crisis de Ucrania.;81196,19;https://sede.gobiernodecanarias.org/sede/anuncios/36515a55-3d50-4f13-961d-694708bda805
